2020-09-01 07:04:32 install bash:amd64 <none> 5.0-4
2020-09-01 07:04:32 status half-installed bash:amd64 5.0-4
2020-09-01 07:04:32 status unpacked bash:amd64 5.0-4
2020-09-01 07:04:33 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2020-09-01 07:04:33 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-09-01 07:04:33 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-09-01 07:04:33 install libdebconfclient0:amd64 <none> 0.249
2020-09-01 07:04:33 status half-installed libdebconfclient0:amd64 0.249
2020-09-01 07:04:33 status unpacked libdebconfclient0:amd64 0.249
2020-09-01 07:04:34 install coreutils:amd64 <none> 8.30-3
2020-09-01 07:04:34 status half-installed coreutils:amd64 8.30-3
2020-09-01 07:04:34 status unpacked coreutils:amd64 8.30-3
2020-09-01 07:04:35 install dash:amd64 <none> 0.5.10.2-5
2020-09-01 07:04:35 status half-installed dash:amd64 0.5.10.2-5
2020-09-01 07:04:35 status unpacked dash:amd64 0.5.10.2-5
2020-09-01 07:04:36 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2020-09-01 07:04:36 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2020-09-01 07:04:36 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2020-09-01 07:04:36 upgrade debconf:all 1.5.71 1.5.71
2020-09-01 07:04:36 status half-configured debconf:all 1.5.71
2020-09-01 07:04:37 status unpacked debconf:all 1.5.71
2020-09-01 07:04:37 status half-installed debconf:all 1.5.71
2020-09-01 07:04:37 status unpacked debconf:all 1.5.71
2020-09-01 07:04:37 install debian-archive-keyring:all <none> 2019.1
2020-09-01 07:04:37 status half-installed debian-archive-keyring:all 2019.1
2020-09-01 07:04:38 status unpacked debian-archive-keyring:all 2019.1
2020-09-01 07:04:38 install debianutils:amd64 <none> 4.8.6.1
2020-09-01 07:04:38 status half-installed debianutils:amd64 4.8.6.1
2020-09-01 07:04:38 status unpacked debianutils:amd64 4.8.6.1
2020-09-01 07:04:39 install diffutils:amd64 <none> 1:3.7-3
2020-09-01 07:04:39 status half-installed diffutils:amd64 1:3.7-3
2020-09-01 07:04:39 status unpacked diffutils:amd64 1:3.7-3
2020-09-01 07:04:39 upgrade dpkg:amd64 1.19.7 1.19.7
2020-09-01 07:04:39 status half-configured dpkg:amd64 1.19.7
2020-09-01 07:04:39 status unpacked dpkg:amd64 1.19.7
2020-09-01 07:04:39 status half-installed dpkg:amd64 1.19.7
2020-09-01 07:04:40 status unpacked dpkg:amd64 1.19.7
2020-09-01 07:04:42 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2020-09-01 07:04:42 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:42 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:43 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2020-09-01 07:04:43 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:43 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:43 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2020-09-01 07:04:43 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:43 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:44 install libss2:amd64 <none> 1.44.5-1+deb10u3
2020-09-01 07:04:44 status half-installed libss2:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:44 status unpacked libss2:amd64 1.44.5-1+deb10u3
2020-09-01 07:04:44 install findutils:amd64 <none> 4.6.0+git+20190209-2
